MALU ROAD ,ANGLICAN PRY. SCH. ,ANGLICAN PRY. SCH. 
,,
SARI ,IREPODUN PRY. SCH. ,IREPODUN PRY. SCH. 
,,
POSUKOH ,BADAGRY PRY. SCH. ,BADAGRY PRY. SCH. 
,,
AWHAJIGHO ,METHODIST HIGH SCH BAG. ,METHODIST HIGH SCH BAG. 
,,
IBEREKO ,L.A PRY. SCH. IBEREKO ,L.A PRY. SCH. IBEREKO 
,,
APA ,L.A PRY APA ,L.A PRY APA 
,,
KETA EAST ,KANKON SEC SCH. KANKON ,KANKON SEC SCH. KANKON 
,,
IWORO/GBANKO ,AGN PRY.SCH IWORO ,AGN PRY.SCH IWORO 
,,
AJIDO ,IWORO AJIDO HIGH SCH. AJIDO ,IWORO AJIDO HIGH SCH. AJIDO 
,,
OLOGBO/ARAROMI ,ARAROMI/ILOGBO SEC SCH OKO AFO ,ARAROMI/ILOGBO SEC SCH OKO AFO 
,,
IKOGA ,IKOGA GAMM. SCH. IKOGA ,IKOGA GAMM. SCH. IKOGA 
,,
AJERA ,AJARA GRAMM. SCH. AJARA ,AJARA GRAMM. SCH. AJARA 
,,
IYAFIN ,METHIODIST PRY. SCH TOHON ,METHIODIST PRY. SCH TOHON 
,,
ETITA/BODE ,L.G PRY. SCH. EPE ,L.G PRY. SCH. EPE 
,,
LAGBADE ,L.G PRY. EREPOTO ,L.G PRY. EREPOTO 
,,
POPO-OBA ,ST. MICHEAL ANGLICAN SCH.EPE ,ST. MICHEAL ANGLICAN SCH.EPE 
,,
OKE- BALOGUN ,A.U.D. PRY. SCH.EPE ,A.U.D. PRY. SCH.EPE 
,,
AJAGANABE ,EPE GIRLS HIGH SCH. EPE ,EPE GIRLS HIGH SCH. EPE 
,,
ISE- IGBODUN ,L.G PRY. SCH. ISE ,L.G PRY. SCH. ISE 
,,
ORIBA/LADABA ,COMMUNITY HIGH SCH. ORIBA ,COMMUNITY HIGH SCH. ORIBA 
,,
ABOMITI ,L.G PRY.SCH. EMINA ,L.G PRY.SCH. EMINA 
,,
AGBOWA ,L.G PRY. SCH. AGBOWA ,L.G PRY. SCH. AGBOWA 
,,
AGBOWA-IKOSI ,BAPTIST PRY.SCH. AGBOWA ,BAPTIST PRY.SCH. AGBOWA 
,,
AGO-OWU ,OTA PRY. SCH. OTA ,OTA PRY. SCH. OTA 
,,
ORUGBO ,ANGLICAN PRY.SCH. AJEBO ,ANGLICAN PRY.SCH. AJEBO 
,,
ILARA ,COMMUNITY HIGH SCH. IGBOYE ,COMMUNITY HIGH SCH. IGBOYE 
,,
IBONWO ,NAZARETH COLLEGE IBOGUN ,NAZARETH COLLEGE IBOGUN 
,,
ODORAGUSIN ,R.C.M SCH. OKEMOGBA MOJODA ,R.C.M SCH. OKEMOGBA MOJODA 
,,
POKA ,PODUNA SEC. SCH. POKA ,PODUNA SEC. SCH. POKA 
,,
ODOMOLA ,COMMUNITY HIGH SCH IRAL- OKE ,COMMUNITY HIGH SCH IRAL- OKE 
,,
EJIRIN ,LOFI OGUNMODE COLLEGE ,LOFI OGUNMODE COLLEGE 
,,
ITOIKIN ,R.C.M. SCH ITOIKIN ,R.C.M. SCH ITOIKIN 
,,
VICTORIA ISLAND 1 ,GOVT. COLL. VICTORIA ISLAND ,GOVT. COLL. VICTORIA ISLAND 
,,
VICTORIA IS LAND 11 ,"KURAMO COLLEGE, VICTORIA ISLAND ","KURAMO COLLEGE, VICTORIA ISLAND "
,,
ISLAND HOUSING SCHEME/MAYEGUN ,MAYEGUN PRY. SCH. MAYEGUN ,MAYEGUN PRY. SCH. MAYEGUN 
,,
LEKKI SCHEME/ IKATE VIILAGE ,IKOTA PRY. SCH. IKOTA ,IKOTA PRY. SCH. IKOTA 
,,
ILADO/ETI-OSA AND ENVIRONS ,JAMAT ISLAMIYA PRY.SCH. IGBOEFON ,JAMAT ISLAMIYA PRY.SCH. IGBOEFON 
,,
AJAH/ SANGOTEDO VILLAGE ,OLOMU PRY. SCH. ,OLOMU PRY. SCH. 
,,
ADO/BADORE/LAMGBASA ,ADO PRY. SCH. ADO ,ADO PRY. SCH. ADO 
,,
IKOYI 1 ,ST. GEORGE'S PRY. SCH. FALOMO ,ST. GEORGE'S PRY. SCH. FALOMO 
,,
IKOYI 11 ,IRETI PRY. SCH IKOYI ,IRETI PRY. SCH IKOYI 
,,
OBALENDE ,ST. GREGORY'S COLL. OBALENDE ,ST. GREGORY'S COLL. OBALENDE 
,,
IBEJU I ,IBEJU HIGH SCHOOL ,IBEJU HIGH SCHOOL 
,,
IBEJU II ,R.C.M. AYETEJU ,R.C.M. AYETEJU 
,,
ORIMEDU I ,R.C.M. ORIMEDU ,R.C.M. ORIMEDU 
,,
ORIMEDU II ,ST PETERS SCH MAGBO-ALADE ,ST PETERS SCH MAGBO-ALADE 
,,
ORIMEDU III ,F.A.O. SCHOOL IDADO ,F.A.O. SCHOOL IDADO 
,,
IWEREKUN I ,C.H.S. LAKOWE ,C.H.S. LAKOWE 
,,
IWEREKUN II ,"L.G SCHOOL,BOGIJE ","L.G SCHOOL,BOGIJE "
,,
LEKKI I ,C.H.S. LEKKI ,C.H.S. LEKKI 
,,
LEKKI II ,C.H.S. IDOTUN ,C.H.S. IDOTUN 
,,
SIRIWON/IGBEKODO I ,10 UPE SCH. SIRIWON ,10 UPE SCH. SIRIWON 
,,
SIRIWON/IGBEKODO II ,R.C.M. IDATA ,R.C.M. IDATA 
,,
OGBA IJAIYE ,KARAOLE PRI. SCHOOL ,KARAOLE PRI. SCHOOL 
,,
OLD IFAKO KARAOLE ,AFRICAN CHURCH MODEL COLLEGE ,AFRICAN CHURCH MODEL COLLEGE 
,,
NEW IFAKO OYEMEKUN ,COKER PRIMARY SCHOOL ,COKER PRIMARY SCHOOL 
,,
FAGBA AKUTE ROAD ,IJU GRAMMAR SCH. ,IJU GRAMMAR SCH. 
,,
ISHAGA ,IJU STATION PRY.SCH.IJU ,IJU STATION PRY.SCH.IJU 
,,
IJU ,OGUNDIMU PRY. SCH. ,OGUNDIMU PRY. SCH. 
,,
ABULE EGBA/PANADA ,PROGRESS COLLEGE (STATE HIGH SCH. ,PROGRESS COLLEGE (STATE HIGH SCH. 
,,
OJOKORO/IJAIYE ,EBENEZER PRY SCH. ,EBENEZER PRY SCH. 
,,
AGBADO/KOLLINGGTON/AJ AIYE ,IJAIYE OJOKORO HIGH SCH. ,IJAIYE OJOKORO HIGH SCH. 
,,
ALAKUKO/KOLLINGTON ,SAVIOUR PRY. SCH. ALAKUHO ,SAVIOUR PRY. SCH. ALAKUHO 
,,
AJEGUNLE/AKANDE ANIMASAUN ,GBELEYI PRY. SCH. ,GBELEYI PRY. SCH. 
,,
ANIFOWOSHE/IKEJA ,ANIFOWOSHE PRY. SCH. ,ANIFOWOSHE PRY. SCH. 
,,
OJODU/AGIDIN ,AGIDIGBI TECHIACL COLLEGE ,AGIDIGBI TECHIACL COLLEGE 
,,
ALAUSA/OREGUN/ OLUSOGUN ,ST. PETERS PRY. SCH. ,ST. PETERS PRY. SCH. 
,,
AIRPORT/NIPETESI /ONILEKE ,STATE PRY. SCH. ,STATE PRY. SCH. 
,,
IPODO/SERIKI ARO ,TOKUNBO ALLI PRY. SCH. ,TOKUNBO ALLI PRY. SCH. 
,,
ADEKUNLE VILLAGE/ADENIYI JONES/OGBA ,OGBA GRAMMAR. SCH ,OGBA GRAMMAR. SCH 
,,
OKE-IRA/ AGUDA ,OKE-IRA PRY SCH. ,OKE-IRA PRY SCH. 
,,
ONIGBONGO/MILITARY CANTONMENT ,G.R.A PRY.SCH. ,G.R.A PRY.SCH. 
,,
GRA/POLICE BARRACKS ,CENTRAL PRY SCH. ,CENTRAL PRY SCH. 
,,
WASIMI/OPEBI/ALLEN ,BOLA MEMORIAL PRY. SCH. ,BOLA MEMORIAL PRY. SCH. 
,,
ISELE 1 ,UNITED HIGH SCH. ,UNITED HIGH SCH. 
,,
ISELE 11 ,WOMEN TRAINING CENTRE ,WOMEN TRAINING CENTRE 
,,
ISELE 111 ,JAMATUL ISLAMIYA PRY SCH. ,JAMATUL ISLAMIYA PRY SCH. 
,,
AGA/IJOMU ,ANGLICAN PRY.SCH. ,ANGLICAN PRY.SCH. 
,,
IPAKODO ,L.G. PRY. SCH. ,L.G. PRY. SCH. 
,,
IMOTA 1 ,L.G. PRY. SCH. ,L.G. PRY. SCH. 
,,
IMOTA 11 ,ST. JOHN'S ANG. PRY. SCH. ,ST. JOHN'S ANG. PRY. SCH. 
,,
ISIU ,L.G. PRY. SCH. ,L.G. PRY. SCH. 
,,
IGBOGBO 1 ,METHODIST PRY. SCH. ,METHODIST PRY. SCH. 
,,
IGBOGBO 11 ,UAMC(ELEJA) PRY. SCH. ,UAMC(ELEJA) PRY. SCH. 
,,
BAIYEKU ORETA ,L.G. PRY. SCH. ,L.G. PRY. SCH. 
,,
IBESHE ,METHODIST PRY. SCH. ,METHODIST PRY. SCH. 
,,
IJEDE 1 ,L.G READUNG ROOM ,L.G READUNG ROOM 
,,
IJEDE11 ,ANWAR ISLAM PRY. SCH. ,ANWAR ISLAM PRY. SCH. 
,,
AGURA/IPONMI ,METHODIST PRY. SCH. ,METHODIST PRY. SCH. 
,,
ODOGUNYAN ,Z.I PRY. SCH. ,Z.I PRY. SCH. 
,,
ERIKORODO ,AFRICA BETHEL PRY SCH ,AFRICA BETHEL PRY SCH 
,,
AGBALA ,ESTATE PRY. SCH. ,ESTATE PRY. SCH. 
,,
OLORUNDA/IGBABA ,ST SAVIOUR'S ANG. PRY. SCH. ,ST SAVIOUR'S ANG. PRY. SCH. 
,,
OWRONSHOKI ,MUSLIM MISSION PRY SCH.OWORONSHO ,MUSLIM MISSION PRY SCH.OWORONSHO 
,,
